folio_recepcion,fecha_recepcion,estado_final_lm,count
2024200455,2024-05-16 07:43:00.000000,6,1
2024200456,2024-05-16 16:49:00.000000,6,1
2024200457,2024-05-16 17:32:00.000000,3,1
2024200462,2024-05-16 16:47:00.000000,3,1
2024200466,2024-05-16 11:29:00.000000,3,1
2024200472,2024-05-16 14:14:00.000000,3,1
2024200475,2024-05-16 18:06:00.000000,3,1
2024200481,2024-05-16 00:01:00.000000,6,1
2024200483,2024-05-16 00:01:00.000000,6,1
2024200484,2024-05-16 00:01:00.000000,6,1
2024200485,2024-05-16 00:01:00.000000,6,1
2024200487,2024-05-16 00:01:00.000000,6,1
2024200489,2024-05-16 00:01:00.000000,6,1
2024200490,2024-05-16 00:01:00.000000,6,1
2024200491,2024-05-16 00:01:00.000000,6,1
2024200493,2024-05-16 00:01:00.000000,6,1
2024200494,2024-05-16 00:01:00.000000,6,1
2024200496,2024-05-16 00:01:00.000000,6,1
2024200497,2024-05-16 00:01:00.000000,6,1
2024200499,2024-05-16 00:01:00.000000,6,1
2024200500,2024-05-16 00:01:00.000000,6,1
2024200501,2024-05-16 00:01:00.000000,6,1
2024200503,2024-05-16 00:01:00.000000,6,1
2024200506,2024-05-16 00:01:00.000000,6,1
2024200508,2024-05-16 00:01:00.000000,6,1
2024200511,2024-05-16 00:01:00.000000,6,1
2024200512,2024-05-16 00:01:00.000000,6,1
2024200513,2024-05-16 00:01:00.000000,6,1
2024200514,2024-05-16 00:01:00.000000,6,1
2024200517,2024-05-16 00:01:00.000000,6,1
2024200518,2024-05-16 00:01:00.000000,6,1
2024200520,2024-05-16 00:01:00.000000,6,1
2024200523,2024-05-16 00:01:00.000000,6,1
2024200524,2024-05-16 00:01:00.000000,6,1
2024200527,2024-05-16 00:01:00.000000,6,1
2024200532,2024-05-16 00:01:00.000000,6,1
2024200533,2024-05-16 00:01:00.000000,6,1
2024200536,2024-05-16 00:01:00.000000,6,1
2024200538,2024-05-16 00:01:00.000000,6,1
2024200539,2024-05-16 00:01:00.000000,6,1
2024200540,2024-05-16 00:01:00.000000,6,1
2024200541,2024-05-16 00:01:00.000000,6,1
2024200542,2024-05-16 00:01:00.000000,6,1
2024200544,2024-05-16 00:01:00.000000,6,1
2024200546,2024-05-16 00:01:00.000000,6,1
2024200547,2024-05-16 00:01:00.000000,6,1
2024200548,2024-05-16 00:01:00.000000,6,1
2024200550,2024-05-16 00:01:00.000000,6,1
2024200551,2024-05-16 00:01:00.000000,6,1
2024200554,2024-05-16 00:01:00.000000,6,1
2024200555,2024-05-16 00:01:00.000000,6,1
2024200556,2024-05-16 00:01:00.000000,6,1
2024200558,2024-05-16 00:01:00.000000,6,1
2024200560,2024-05-16 00:01:00.000000,6,1
2024200564,2024-05-16 00:01:00.000000,6,1
2024200565,2024-05-16 00:01:00.000000,6,1
2024200566,2024-05-16 00:01:00.000000,6,1
2024200568,2024-05-16 00:01:00.000000,6,1
2024200570,2024-05-16 00:01:00.000000,6,1
2024200571,2024-05-16 00:01:00.000000,6,1
2024200573,2024-05-16 00:01:00.000000,6,1
2024200574,2024-05-16 00:01:00.000000,6,1
2024200575,2024-05-16 00:01:00.000000,6,1
2024200576,2024-05-16 00:01:00.000000,6,1
2024200577,2024-05-16 00:01:00.000000,6,1
2024200581,2024-05-16 00:01:00.000000,6,1
2024200584,2024-05-16 00:01:00.000000,6,1
2024200586,2024-05-16 00:01:00.000000,6,1
2024200587,2024-05-16 00:01:00.000000,6,1
2024200592,2024-05-16 00:01:00.000000,6,1
2024200594,2024-05-16 00:01:00.000000,6,1
2024200597,2024-05-16 00:01:00.000000,6,1
2024200598,2024-05-16 00:01:00.000000,6,1
2024200600,2024-05-16 00:01:00.000000,6,1
2024200603,2024-05-16 00:01:00.000000,6,1
2024200607,2024-05-16 00:01:00.000000,6,1
2024200608,2024-05-16 00:01:00.000000,6,1
2024200611,2024-05-16 00:01:00.000000,6,1
2024200612,2024-05-16 00:01:00.000000,6,1
2024200613,2024-05-16 00:01:00.000000,6,1
2024200614,2024-05-16 00:01:00.000000,6,1
2024200615,2024-05-16 00:01:00.000000,6,1
2024200616,2024-05-16 00:01:00.000000,6,1
2024200641,2024-05-16 00:01:00.000000,6,1
2024200642,2024-05-16 00:01:00.000000,6,1
2024200643,2024-05-16 00:01:00.000000,6,1
2024200647,2024-05-16 17:53:00.000000,3,1
2024200648,2024-05-16 12:39:00.000000,3,1
