"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024475119",6,2024-04-08 09:16:00.000,2024-04-10 19:16:58.043
"2024461838",3,2024-04-15 10:53:00.000,2024-04-18 22:22:35.715
"2024480832",6,2024-04-22 00:01:00.000,2024-04-23 14:21:14.402
"2024468646",3,2024-04-23 00:01:00.000,2024-04-26 16:15:55.601
"2024486202",6,2024-04-30 00:01:00.000,2024-05-02 05:16:05.685
"2024475275",3,2024-04-08 09:16:00.000,2024-04-10 19:17:45.155
"2024472562",3,2024-04-09 16:38:00.000,2024-04-10 23:16:11.239
"2024478247",6,2024-04-09 09:16:00.000,2024-04-10 19:24:18.518
"2024481736",3,2024-04-04 09:16:00.000,2024-04-10 19:25:28.226
"2024474163",6,2024-04-18 00:01:00.000,2024-04-23 18:18:48.487
"2024474349",6,2024-04-18 00:01:00.000,2024-04-19 13:16:47.679
"2024486222",6,2024-04-30 00:01:00.000,2024-05-07 12:16:06.214
"2024475548",3,2024-04-08 09:16:00.000,2024-04-10 19:19:44.312
"2024475796",6,2024-04-08 09:16:00.000,2024-04-10 19:21:43.567
"2024480365",3,2024-04-18 15:30:00.000,2024-04-24 14:23:00.807
"2024474943",6,2024-04-22 00:01:00.000,2024-04-25 21:23:21.881
"2024492184",6,2024-04-23 00:01:00.000,2024-04-24 13:16:29.061
"2024478557",6,2024-04-09 00:01:00.000,2024-04-15 05:30:56.232
"2024475609",3,2024-04-08 09:16:00.000,2024-04-10 19:20:03.370
"2024473897",3,2024-04-10 08:02:00.000,2024-04-11 18:23:47.755
"2024476236",3,2024-04-04 09:16:00.000,2024-04-10 19:23:19.761
"2024473937",3,2024-04-10 08:02:00.000,2024-04-11 18:24:14.574
"2024475411",3,2024-04-08 09:16:00.000,2024-04-10 19:18:31.950
"2024473815",3,2024-04-10 08:02:00.000,2024-04-11 18:22:41.856
"2024475965",6,2024-04-08 09:18:00.000,2024-04-10 19:22:57.126
"2024470335",3,2024-04-17 08:56:00.000,2024-04-22 19:24:24.460
"2024468235",6,2024-04-22 00:01:00.000,2024-04-23 14:16:44.734
"2024473659",3,2024-04-10 08:03:00.000,2024-04-11 18:20:58.199
"2024469668",3,2024-04-11 11:14:00.000,2024-04-18 13:18:09.763
"2024473905",6,2024-04-10 08:02:00.000,2024-04-11 18:23:48.910
"2024478756",6,2024-04-11 11:14:00.000,2024-04-18 13:19:14.560
"2024475247",3,2024-04-08 09:18:00.000,2024-04-10 19:17:35.973
"2024475638",3,2024-04-08 09:18:00.000,2024-04-10 19:20:15.315
"2024475632",3,2024-04-08 09:18:00.000,2024-04-10 19:20:09.824
"2024475777",3,2024-04-08 09:18:00.000,2024-04-10 19:21:22.418
"2024475663",3,2024-04-08 09:18:00.000,2024-04-10 19:20:28.052
"2024475045",6,2024-04-08 17:58:00.000,2024-04-15 19:34:10.410
"2024482731",3,2024-04-08 09:18:00.000,2024-04-10 19:26:06.156
"2024473210",3,2024-04-10 08:03:00.000,2024-04-11 18:18:36.452
"2024473051",3,2024-04-10 08:03:00.000,2024-04-11 18:17:22.981
"2024473174",3,2024-04-10 08:03:00.000,2024-04-11 18:18:13.348
"2024479923",6,2024-04-04 00:01:00.000,2024-04-08 22:16:57.073
"2024475760",6,2024-04-08 09:21:00.000,2024-04-10 19:21:13.722
"2024475041",3,2024-04-08 09:20:00.000,2024-04-10 19:16:43.979
"2024475703",4,2024-04-08 09:21:00.000,2024-04-10 19:20:29.072
"2024482576",3,2024-04-05 08:04:00.000,2024-04-11 18:26:55.868
"2024475795",3,2024-04-08 09:20:00.000,2024-04-10 19:21:34.507
"2024475948",3,2024-04-08 09:19:00.000,2024-04-10 19:22:34.084
"2024473047",3,2024-04-10 08:04:00.000,2024-04-11 18:17:15.202
"2024472716",3,2024-04-10 08:04:00.000,2024-04-11 18:16:15.685
"2024472956",3,2024-04-10 08:04:00.000,2024-04-11 18:16:59.124
"2024462928",6,2024-04-16 00:01:00.000,2024-04-17 13:16:46.296
"2024466290",3,2024-04-12 11:20:00.000,2024-04-18 13:16:36.907
