"folio_recepcion","cantidad_items","cantidad_lm","cantidad_ls"
"2024352050",11,28,16
"2023478325",12,28,16
"2024361179",3,28,16
"2024358740",10,28,16
"2024365406",9,28,16
"2023460354",16,28,16
"2023464459",29,28,16
"2024352519",3,28,16
"2023477338",7,28,16
"2023190058",3,28,16
"2024364068",3,28,16
"2023476046",3,28,16
"2024361568",20,28,16
"2024363689",11,28,16
"2024351972",25,28,16
"2024358223",3,28,16
"2023460686",13,28,16
"2024363327",10,28,16
"2024359298",21,28,16
"2023477589",12,28,16
"2024357911",7,28,16
"2023470292",7,28,16
"2023455696",3,28,16
"2024363498",21,28,16
"2023475738",7,28,16
"2024357564",21,28,16
"2024365673",15,28,16
"2024363951",3,28,16
"2024358160",3,28,16
"2023476063",3,28,16
"2024361491",6,28,16
"2024154427",14,28,16
"2024354999",3,28,16
"2024354567",25,28,16
"2024364961",3,28,16
"2024359351",11,28,16
"2024359244",27,28,16
"2024353876",10,28,16
"2024360669",1,28,16
"2023460573",3,28,16
"2023459237",11,28,16
"2024362440",9,28,16
"2024366721",23,28,16
"2023459386",15,28,16
"2023478626",31,28,16
"2023476610",3,28,16
"2024360829",36,28,16
"2023476119",6,28,16
"2024359364",13,28,16
"2024366396",27,28,16
"2024364940",10,28,16
"2024351029",9,28,16
"2024353515",3,28,16
"2023455717",3,28,16
"2023470969",12,28,16
"2023475628",3,28,16
"2024352017",3,28,16
"2024372088",3,28,16
"2023464150",15,28,16
"2024357169",10,28,16
"2023460335",21,28,16
"2024353138",3,28,16
"2024352527",3,28,16
"2023460013",17,28,16
"2024360371",6,28,16
"2024353538",3,28,16
"2024360427",7,28,16
"2023478042",4,28,16
"2024359864",16,28,16
"2024363590",8,28,16
"2023470499",7,28,16
"2024358006",11,28,16
"2024360122",7,28,16
"2023460011",3,28,16
"2024360528",7,28,16
"2024361127",3,28,16
"2023476097",7,28,16
"2024364597",7,28,16
"2023475409",16,28,16
"2024365666",13,28,16
"2024366253",3,28,16
"2023477895",26,28,16
"2023477032",22,28,16
"2023459681",11,28,16
"2024350601",28,28,16
"2024365610",5,28,16
"2023459552",3,28,16
"2023470672",15,28,16
"2024358349",24,28,16
"2024357326",30,28,16
"2024360955",43,28,16
"2024360136",9,28,16
"2024360403",10,28,16
"2024363133",18,28,16
"2024359356",9,28,16
"2023476892",23,28,16
"2024363800",17,28,16
"2024354320",30,28,16
"2024363933",24,28,16
"2024354347",23,28,16
"2024364342",25,28,16
"2024357412",3,28,16
"2024363482",33,28,16
"2024350977",3,28,16
"2024359614",3,28,16
"2024356965",14,28,16
"2024350112",17,28,16
"2024351401",16,28,16
"2024359332",20,28,16
"2023464070",18,28,16
"2023478631",17,28,16
"2024352420",15,28,16
"2023475783",5,28,16
"2024358894",12,28,16
"2024364567",6,28,16
"2024356967",5,28,16
"2024351531",11,28,16
"2024356841",17,28,16
"2024366729",7,28,16
"2024363582",3,28,16
"2024366768",17,28,16
"2024351012",15,28,16
"2024360366",17,28,16
"2024354728",3,28,16
"2024360130",10,28,16
"2024372048",20,28,16
"2024352931",16,28,16
"2024359491",7,28,16
"2024353193",27,28,16
"2024364948",3,28,16
"2024354340",29,28,16
"2024354005",6,28,16
"2024372210",12,28,16
"2024361592",13,28,16
"2023477725",17,28,16
"2024361596",16,28,16
"2023476206",24,28,16
"2024363106",3,28,16
"2024352895",21,28,16
"2024364220",19,28,16
"2024372860",16,28,16
"2023477281",11,28,16
"2023477960",5,28,16
"2023459214",36,28,16
"2024359076",42,28,16
"2024357031",18,28,16
"2024152011",16,28,16
"2023476003",19,28,16
"2024354341",12,28,16
"2023151890",9,28,16
"2023455549",20,28,16
"2023476215",3,28,16
"2023460981",17,28,16
"2024350776",6,28,16
"2024072003",6,28,16
"2023459712",34,28,16
"2023470850",3,28,16
"2024366065",6,28,16
"2023462677",7,28,16
"2024357454",13,28,16
"2023455568",3,28,16
"2024364201",7,28,16
"2024356442",27,28,16
"2024363683",11,28,16
"2024353977",26,28,16
"2024366474",9,28,16
"2024364093",3,28,16
"2024365284",8,28,16
"2023463221",23,28,16
"2024356803",7,28,16
"2024354991",9,28,16
"2024363580",18,28,16
"2024354506",10,28,16
"2024351922",3,28,16
"2023476647",15,28,16
"2023478650",30,28,16
"2023470180",27,28,16
"2023455741",6,28,16
"2024363032",8,28,16
"2024365727",36,28,16
"2024363375",11,28,16
"2024360405",25,28,16
"2023476626",11,28,16
"2023455743",21,28,16
"2024352922",20,28,16
"2024359070",22,28,16
"2024364165",13,28,16
"2023459927",8,28,16
"2024364576",3,28,16
"2024350280",9,28,16
"2023455920",14,28,16
"2024372197",3,28,16
"2024351817",26,28,16
"2024350302",7,28,16
"2024358751",3,28,16
"2024361020",18,28,16
"2024364298",3,28,16
"2024360641",3,28,16
"2023478115",24,28,16
"2024359463",8,28,16
"2023477582",3,28,16
"2023459874",3,28,16
"2024353886",14,28,16
"2024358129",27,28,16
"2024351495",27,28,16
"2023470831",11,28,16
"2024356394",15,28,16
"2023459054",14,28,16
"2024363825",3,28,16
"2023478297",14,28,16
"2023460168",17,28,16
"2023476994",27,28,16
"2024352843",9,28,16
"2023476047",3,28,16
"2023455093",15,28,16
"2024363041",18,28,16
"2024354392",18,28,16
"2024356982",3,28,16
"2023478963",3,28,16
"2024358061",7,28,16
"2023478624",7,28,16
"2024354675",3,28,16
"2024360491",14,28,16
"2023478860",3,28,16
"2024356931",23,28,16
"2024365761",22,28,16
"2024359215",7,28,16
"2024366388",28,28,16
"2023478988",4,28,16
"2024350219",8,28,16
"2024363319",3,28,16
"2023460632",23,28,16
"2024359458",17,28,16
"2024359859",29,28,16
"2024360488",6,28,16
"2023460391",24,28,16
"2024350530",11,28,16
"2024363326",4,28,16
"2023477875",18,28,16
"2024358646",26,28,16
"2023455249",34,28,16
