"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024490193",3,2024-05-02 08:28:00.000,2024-05-03 18:27:12.361
"2024212983",6,2024-05-23 00:01:00.000,2024-05-24 14:17:55.647
"2024499515",6,2024-05-07 00:01:00.000,2024-05-08 13:17:21.257
"2024225422",6,2024-05-22 00:01:00.000,2024-05-27 17:26:22.961
"2024487215",6,2024-05-02 00:01:00.000,2024-05-03 13:16:18.909
"2024487412",6,2024-05-02 00:01:00.000,2024-05-03 13:16:49.435
"2024209445",6,2024-05-22 00:01:00.000,2024-05-23 14:20:23.345
"2024200335",6,2024-05-16 18:33:00.000,2024-05-23 19:17:06.497
"2024207970",6,2024-05-10 08:11:00.000,2024-05-13 22:27:00.673
"2024225852",6,2024-05-23 00:01:00.000,2024-05-24 15:19:41.845
"2024483362",6,2024-05-06 00:01:00.000,2024-05-07 13:16:29.513
"2024222824",6,2024-05-22 00:01:00.000,2024-05-23 13:16:30.702
"2024201850",6,2024-05-16 00:01:00.000,2024-05-22 23:16:29.607
"2024228466",6,2024-05-24 00:01:00.000,2024-05-30 11:16:27.078
"2024208175",6,2024-05-13 00:01:00.000,2024-05-14 13:17:34.296
"2024228963",6,2024-05-24 14:45:00.000,2024-05-31 19:28:41.353
"2024177049",6,2024-05-16 09:13:00.000,2024-05-22 18:16:47.276
"2024490611",6,2024-05-06 00:01:00.000,2024-05-10 16:25:24.224
"2024487908",3,2024-05-03 16:49:00.000,2024-05-09 17:18:27.468
"2024200452",3,2024-05-16 19:41:00.000,2024-05-23 19:17:36.071
"2024219522",4,2024-05-28 08:04:00.000,2024-05-30 15:31:04.788
"2024467176",6,2024-05-16 09:05:00.000,2024-05-22 20:19:41.738
"2024203796",3,2024-05-28 08:04:00.000,2024-05-30 15:20:04.511
"2024216196",3,2024-05-28 08:04:00.000,2024-05-30 15:22:52.712
"2024219385",3,2024-05-28 08:04:00.000,2024-05-30 15:29:42.109
"2024488416",6,2024-05-03 16:49:00.000,2024-05-09 17:20:43.576
"2024210749",6,2024-05-14 00:01:00.000,2024-05-15 15:17:25.333
"2024487604",3,2024-05-03 08:08:00.000,2024-05-06 16:18:03.381
"2024484301",3,2024-05-07 09:11:00.000,2024-05-08 19:19:50.699
"2024487527",4,2024-05-03 08:08:00.000,2024-05-06 16:17:48.237
"2024488111",6,2024-05-03 16:50:00.000,2024-05-09 17:18:54.297
"2024207016",3,2024-05-10 08:16:00.000,2024-05-13 22:19:02.149
"2024207417",3,2024-05-10 08:15:00.000,2024-05-13 22:23:52.866
"2024216444",3,2024-05-28 08:04:00.000,2024-05-30 15:25:52.983
"2024483156",6,2024-05-06 00:01:00.000,2024-05-09 18:17:03.063
